Ano,Categoria da Situação,Cor / Raça,Código da Matricula,Código do Ciclo Matricula,Data de Fim Previsto do Ciclo,Data de Inicio do Ciclo,Data de Ocorrencia da Matricula,Eixo Tecnológico,Faixa Etária,Mês De Ocorrência da Situação,Nome de Curso,Renda Familiar,Sexo,Situação de Matrícula,Subeixo Tecnológico,Tipo de Curso,Turno
2020,Em curso,Branca,73942335,2191284,2020-07-10,2017-07-31,2017-08-01,Informação e Comunicação,30 a 34 anos,2017-08-01,Análise e Desenvolvimento de Sistemas,"RFP>3,5",M,Retido,Informática,Superior-Tecnologia,Noturno
2020,Em curso,Branca,94169097,2674873,2022-12-23,2020-02-17,2020-02-01,Gestão e Negócios,55 a 59 anos,2020-02-01,Técnico em Comércio,"1<RFP<=1,5",M,Ingressante,Gestão e Negócios,Técnico-PROEJA - Integrado,Noturno
2020,Em curso,Não declarada,94167851,2674865,2023-07-28,2020-02-17,2020-02-01,Controle e Processos Industriais,40 a 44 anos,2020-02-01,Eletrônica Industrial,Não declarada,M,Ingressante,Elétrica,Superior-Tecnologia,Noturno
2020,Em curso,Parda,94166098,2674871,2023-12-22,2020-02-17,2020-02-01,Desenvolvimento Educacional e Social,40 a 44 anos,2020-02-01,Letras - Português e Espanhol,"1,5<RFP<=2,5",M,Ingressante,Desenvolvimento Científico,Superior-Licenciatura,Noturno
2020,Em curso,Parda,85564390,2496393,2021-12-15,2018-03-01,2018-03-01,Desenvolvimento Educacional e Social,45 a 49 anos,2018-03-01,Letras - Português e Espanhol,"1<RFP<=1,5",M,Em fluxo,Desenvolvimento Científico,Superior-Licenciatura,Noturno
2020,Em curso,Parda,88224402,2555273,2021-07-28,2018-07-28,2018-07-01,Recursos Naturais,35 a 39 anos,2018-07-01,Técnico em Agroecologia,"0<RFP<=0,5",M,Em fluxo,Agrícola,Técnico-PROEJA - Integrado,Noturno
2020,Em curso,Parda,89669750,2571551,2021-12-18,2019-02-11,2019-02-01,Gestão e Negócios,25 a 29 anos,2019-02-01,Técnico em Comércio,"1<RFP<=1,5",M,Em fluxo,Gestão e Negócios,Técnico-PROEJA - Integrado,Noturno
2020,Em curso,Preta,87618832,2542873,2021-07-26,2018-07-26,2018-07-01,Gestão e Negócios,20 a 24 anos,2018-07-01,Processos Gerenciais,"1,5<RFP<=2,5",M,Em fluxo,Gestão e Negócios,Superior-Tecnologia,Noturno
2020,Em curso,Preta,88224468,2555272,2020-07-27,2017-07-27,2017-07-01,Recursos Naturais,40 a 44 anos,2017-07-01,Técnico em Agroecologia,"0<RFP<=0,5",M,Retido,Agrícola,Técnico-PROEJA - Integrado,Noturno
2020,Em curso,Preta,89669774,2571551,2021-12-18,2019-02-11,2019-02-01,Gestão e Negócios,20 a 24 anos,2019-02-01,Técnico em Comércio,"1<RFP<=1,5",M,Em fluxo,Gestão e Negócios,Técnico-PROEJA - Integrado,Noturno
2020,Em curso,Branca,89671184,2571566,2022-12-18,2019-02-11,2019-02-01,Controle e Processos Industriais,15 a 19 anos,2019-02-01,Técnico em Eletrônica,"0,5<RFP<=1",M,Em fluxo,Elétrica,Técnico-Integrado,Vespertino
2020,Em curso,Branca,72176012,2152179,2020-12-31,2017-03-13,2017-03-01,Informação e Comunicação,15 a 19 anos,2017-03-01,Técnico em Informática,"1,5<RFP<=2,5",M,Em fluxo,Informática,Técnico-Integrado,Vespertino
2020,Em curso,Branca,54917683,2152179,2020-12-31,2017-03-13,2017-03-01,Informação e Comunicação,20 a 24 anos,2017-03-01,Técnico em Informática,Não declarada,M,Em fluxo,Informática,Técnico-Integrado,Vespertino
2020,Em curso,Preta,72174998,2152179,2020-12-31,2017-03-13,2017-03-01,Informação e Comunicação,15 a 19 anos,2017-03-01,Técnico em Informática,"2,5<RFP<=3,5",M,Em fluxo,Informática,Técnico-Integrado,Vespertino
2020,Em curso,Preta,54917529,2152179,2020-12-31,2017-03-13,2017-03-01,Informação e Comunicação,20 a 24 anos,2017-03-01,Técnico em Informática,Não declarada,M,Em fluxo,Informática,Técnico-Integrado,Vespertino
2020,Em curso,Parda,65156620,1993559,2018-08-31,2015-07-27,2015-07-01,Informação e Comunicação,45 a 49 anos,2015-07-02,Análise e Desenvolvimento de Sistemas,"1,5<RFP<=2,5",F,Retido,Informática,Superior-Tecnologia,Noturno
2020,Evadidos,Branca,59189353,1858615,2017-12-20,2014-02-13,2014-02-01,Controle e Processos Industriais,20 a 24 anos,2020-02-01,Técnico em Eletrônica,"1,5<RFP<=2,5",M,Transf. interna,Elétrica,Técnico-Integrado,Matutino
2020,Em curso,Branca,59189455,1858619,2016-12-22,2014-02-13,2014-02-01,Informação e Comunicação,25 a 29 anos,2018-03-05,Análise e Desenvolvimento de Sistemas,"1<RFP<=1,5",M,Retido,Informática,Superior-Tecnologia,Matutino
2020,Em curso,Branca,65156640,1993559,2018-08-31,2015-07-27,2015-07-01,Informação e Comunicação,20 a 24 anos,2015-07-01,Análise e Desenvolvimento de Sistemas,"2,5<RFP<=3,5",M,Retido,Informática,Superior-Tecnologia,Noturno
2020,Em curso,Branca,66665517,2496393,2021-12-15,2018-03-01,2019-02-01,Desenvolvimento Educacional e Social,30 a 34 anos,2016-03-01,Letras - Português e Espanhol,"1<RFP<=1,5",M,Em fluxo,Desenvolvimento Científico,Superior-Licenciatura,Noturno
2020,Em curso,Preta,85564437,2496393,2021-12-15,2018-03-01,2018-03-01,Desenvolvimento Educacional e Social,Maior de 60 anos,2018-03-01,Letras - Português e Espanhol,"0,5<RFP<=1",M,Em fluxo,Desenvolvimento Científico,Superior-Licenciatura,Noturno
2020,Em curso,Preta,91267563,2571571,2022-12-18,2019-02-11,2019-07-01,Desenvolvimento Educacional e Social,25 a 29 anos,2019-07-01,Letras - Português e Espanhol,Não declarada,M,Em fluxo,Desenvolvimento Científico,Superior-Licenciatura,Noturno
2020,Em curso,Branca,85447261,2492167,2020-12-15,2018-03-01,2018-03-01,"Turismo, Hospitalidade e Lazer",15 a 19 anos,2018-03-01,Técnico em Lazer,"0,5<RFP<=1",F,Em fluxo,Lazer,Técnico-Integrado,Integral
